('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         788900 function calls (765638 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      299    0.000    0.000    0.001    0.000 typing.py:169(_type_check)
     2626    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
        6    0.000    0.000    0.001    0.000 typing.py:2704(__new__)
        5    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.001    0.001 pretty.py:1(<module>)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:495(cache_from_source)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        7    0.000    0.000    0.001    0.000 typing.py:2685(_make_nmtuple)
        5    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.001    0.001 heapq.py:1(<module>)
       86    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
    72/70    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
     2087    0.001    0.000    0.001    0.000 filter.py:539(matches_tag)
     3347    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
      126    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
     3333    0.001    0.000    0.001    0.000 element.py:1821(is_empty_element)
     6511    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       50    0.000    0.000    0.001    0.000 typing.py:1410(__getitem__)
     5911    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
     4035    0.001    0.000    0.001    0.000 _parser.py:285(tell)
      896    0.001    0.000    0.001    0.000 _parser.py:441(_uniq)
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      989    0.000    0.000    0.001    0.000 _parser.py:304(_class_escape)
       59    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
      126    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
     6947    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6743    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:624(_get_cached)
        1    0.000    0.000    0.001    0.001 request.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      836    0.000    0.000    0.001    0.000 typing.py:1149(__setattr__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
       25    0.000    0.000    0.001    0.000 typing.py:713(Optional)
      779    0.000    0.000    0.001    0.000 _compiler.py:212(_compile_charset)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      255    0.001    0.000    0.001    0.000 _compiler.py:382(_mk_bitmap)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
      920    0.000    0.000    0.001    0.000 _compiler.py:394(_simple)
     4144    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(exec_module)
       53    0.000    0.000    0.001    0.000 typing.py:1419(copy_with)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
    10270    0.001    0.000    0.001    0.000 typing.py:2083(cast)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1271    0.000    0.000    0.001    0.000 _parser.py:167(__setitem__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     8838    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
      135    0.000    0.000    0.001    0.000 typing.py:1110(__init__)
     3427    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 _collections.py:335(extend)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1654(_fill_cache)
        1    0.000    0.000    0.001    0.001 feedparser.py:472(_parse_headers)
        4    0.000    0.000    0.001    0.000 feedparser.py:102(push)
      315    0.000    0.000    0.001    0.000 typing.py:160(_type_convert)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
     5994    0.001    0.000    0.001    0.000 _parser.py:108(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      716    0.000    0.000    0.001    0.000 _parser.py:364(_escape)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      920    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
