('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         818811 function calls (794398 primitive calls) in 1.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
      363    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
        2    0.000    0.000    0.001    0.001 readers.py:1(<module>)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        4    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
      126    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        2    0.000    0.000    0.001    0.001 hashlib.py:82(__get_builtin_constructor)
  171/168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:656(_check_name_wrapper)
     3347    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     2087    0.001    0.000    0.001    0.000 filter.py:539(matches_tag)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:624(_get_cached)
       51    0.000    0.000    0.001    0.000 typing.py:1410(__getitem__)
     3333    0.001    0.000    0.001    0.000 element.py:1821(is_empty_element)
     6583    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 _common.py:33(wrapper)
        1    0.000    0.000    0.001    0.001 _common.py:51(files)
       52    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:107(from_package)
        1    0.000    0.000    0.001    0.001 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.001    0.001 compat.py:30(_resolve_char_detection)
     4336    0.001    0.000    0.001    0.000 _parser.py:285(tell)
        3    0.000    0.000    0.001    0.000 __init__.py:71(import_module)
        1    0.000    0.000    0.001    0.001 _adapters.py:149(_native)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _adapters.py:144(_reader)
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1369(_gcd_import)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1205(get_resource_reader)
     1059    0.000    0.000    0.001    0.000 _parser.py:304(_class_escape)
     7995    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        2    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
      126    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      906    0.001    0.000    0.001    0.000 _compiler.py:212(_compile_charset)
     6743    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
        2    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
     1016    0.000    0.000    0.001    0.000 _compiler.py:394(_simple)
      861    0.000    0.000    0.001    0.000 typing.py:1149(__setattr__)
        1    0.000    0.000    0.001    0.001 adapters.py:336(build_response)
       59    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4260    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 sessions.py:457(prepare_request)
      268    0.001    0.000    0.001    0.000 _compiler.py:382(_mk_bitmap)
       25    0.000    0.000    0.001    0.000 typing.py:713(Optional)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _adapters.py:1(<module>)
       56    0.000    0.000    0.001    0.000 typing.py:1419(copy_with)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      311    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(_get_spec)
    10270    0.001    0.000    0.001    0.000 typing.py:2083(cast)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      135    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
     1373    0.000    0.000    0.001    0.000 _parser.py:167(__setitem__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1165(exec_module)
     9194    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      322    0.000    0.000    0.001    0.000 typing.py:160(_type_convert)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
     3716    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
      139    0.000    0.000    0.001    0.000 typing.py:1110(__init__)
      945    0.000    0.000    0.001    0.000 _parser.py:441(_uniq)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        5    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      814    0.000    0.000    0.001    0.000 _parser.py:364(_escape)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
     6218    0.001    0.000    0.001    0.000 _parser.py:108(__init__)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 certs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        5    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       64    0.000    0.000    0.001    0.000 typing.py:855(__init__)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.001    0.000 feedparser.py:102(push)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:815(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
      200    0.000    0.000    0.000    0.000 typing.py:696(<genexpr>)
     3560    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      938    0.000    0.000    0.000    0.000 typing.py:1097(_is_dunder)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
     3220    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     3803    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     3334    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
        2    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
     3334    0.000    0.000    0.000    0.000 __init__.py:636(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:969(SSLSocket)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1010    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1215(path_stats)
       57    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
      310    0.000    0.000    0.000    0.000 enum.py:698(__call__)
        1    0.000    0.000    0.000    0.000 utils.py:207(get_netrc_auth)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
